checked_at,monitor_checked_at,domain,platform_name,monitor_status,access_status,model_rows,usable_price_rows,quality_flags,matched_url,http_status,note
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,1xm.ai,1XM,ONLINE,PUBLIC_JSON,31,31,GENERIC_PRICE_ONLY:31|ZERO_PRICE_CHECK:28,https://1xm.ai/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,5cookie.cc,5Cookie Code,ONLINE,PUBLIC_JSON,14,14,GENERIC_PRICE_ONLY:14|ZERO_PRICE_CHECK:13,https://www.5cookie.cc/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,724codes.com,724codes,ONLINE,PARSE_FAILED,0,0,,https://724codes.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,9527code.com,9527code,ONLINE,PUBLIC_JSON,49,49,GENERIC_PRICE_ONLY:49|ZERO_PRICE_CHECK:46,https://9527code.com/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aaatoken.cn,3AToken,ONLINE,PUBLIC_JSON,34,34,GENERIC_PRICE_ONLY:34|ZERO_PRICE_CHECK:34,https://aaatoken.cn/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai-szzx.online,数智AI,ONLINE,PARSE_FAILED,0,0,,https://ai-szzx.online/,200,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.17nas.com,镜核 AI,CLOUDFLARE_OR_BLOCKED,CLOUDFLARE_OR_BLOCKED,0,0,,https://ai.17nas.com/,,监测已显示 Cloudflare/被拦截，跳过价格抓取
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.anxidc.com,安讯AI,DNS_FAIL,SITE_NOT_REACHABLE,0,0,,,,最新监测状态为 DNS_FAIL，跳过价格抓取
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.cdn.ad,Lightning AI,ONLINE,PARSE_FAILED,0,0,,https://ai.cdn.ad/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.centos.hk,星辰,ONLINE,PUBLIC_JSON,64,64,GENERIC_PRICE_ONLY:64|ZERO_PRICE_CHECK:60,https://ai.centos.hk/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.chaozhi.chat,云枢,ONLINE,PARSE_FAILED,0,0,,https://ai.chaozhi.chat/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.flashapi.top,闪电API,ONLINE,PUBLIC_JSON,31,31,GENERIC_PRICE_ONLY:31|ZERO_PRICE_CHECK:29,https://ai.flashapi.top/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.kividas.com,KyberRouter,ONLINE,PARSE_FAILED,0,0,,https://ai.kividas.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.luminai.cc,Lumin AI,ONLINE,PUBLIC_JSON,14,14,GENERIC_PRICE_ONLY:14|ZERO_PRICE_CHECK:13,https://ai.luminai.cc/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.ssgoo.net,TokenGo,ONLINE,PARSE_FAILED,0,0,,https://ai.ssgoo.net/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.xem8k5.top,xem中转站,ONLINE,PUBLIC_JSON,24,24,GENERIC_PRICE_ONLY:24|ZERO_PRICE_CHECK:24,https://ai.xem8k5.top/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,ai.xlyun.pro,小流云,ONLINE,PUBLIC_JSON,48,48,GENERIC_PRICE_ONLY:48|MODEL_TAGS_NORMALIZED:21|ZERO_PRICE_CHECK:24,https://ai.xlyun.pro/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aiapi.world,AiApi.World,ONLINE,PUBLIC_JSON,113,113,GENERIC_PRICE_ONLY:113|ZERO_PRICE_CHECK:109,https://aiapi.world/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aiapify.com,AIApify,ONLINE,PUBLIC_JSON,11,11,GENERIC_PRICE_ONLY:11|ZERO_PRICE_CHECK:11,https://aiapify.com/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aiapis.io,AI APIS,ONLINE,NO_MODEL_PAGE_FOUND,0,0,,https://aiapis.io/,404,没有找到公开模型价格页
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aiberm.com,Aiberm,ONLINE,PUBLIC_JSON,114,114,GENERIC_PRICE_ONLY:114|ZERO_PRICE_CHECK:109,https://aiberm.com/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,airouter.mxyhi.com,deepproxy,ONLINE,PUBLIC_JSON,153,153,GENERIC_PRICE_ONLY:153|ZERO_PRICE_CHECK:115,https://airouter.mxyhi.com/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,allinai7.cloud,Allin-AI,ONLINE,NO_MODEL_PAGE_FOUND,0,0,,https://allinai7.cloud/,404,没有找到公开模型价格页
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,anpin.ai,AnPin AI,ONLINE,PARSE_FAILED,0,0,,https://anpin.ai/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,aokapi.com,AOK,ONLINE,LOGIN_REQUIRED,0,0,,https://aokapi.com/api/channel/models,401,模型广场/价格页可能需要登录
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aibinghe.xyz,BingHeAPI,ONLINE,PARSE_FAILED,0,0,,https://api.aibinghe.xyz/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aicodemirror.com,AICodeMirror,ONLINE,PARSE_FAILED,0,0,,https://www.aicodemirror.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aigocode.com,AlGoCode,ONLINE,PARSE_FAILED,0,0,,https://www.aigocode.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aijws.com,我的贾维斯,ONLINE,PARSE_FAILED,0,0,,https://api.aijws.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aircode.xin,AirCode,ONLINE,PARSE_FAILED,0,0,,https://api.aircode.xin/models,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.aisz.mom,Token Nexus,ONLINE,PUBLIC_JSON,16,16,GENERIC_PRICE_ONLY:16|ZERO_PRICE_CHECK:16,https://api.aisz.mom/api/pricing,200,
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.api2cn.com,智惠API,ONLINE,PARSE_FAILED,0,0,,https://api.api2cn.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-06-20T08:31:30Z,2026-06-20T07:46:02Z,api.b.ai,B.AI,ONLINE_LOGIN_REQUIRED,LOGIN_REQUIRED,0,0,,https://api.b.ai/api/channel/models,403,模型广场/价格页可能需要登录
