checked_at,monitor_checked_at,domain,platform_name,monitor_status,access_status,model_rows,usable_price_rows,quality_flags,matched_url,http_status,note
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,1xm.ai,1XM,ONLINE,PUBLIC_JSON,34,34,GENERIC_PRICE_ONLY:34|ZERO_PRICE_CHECK:31,https://1xm.ai/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,5cookie.cc,5Cookie Code,ONLINE,PUBLIC_JSON,16,16,GENERIC_PRICE_ONLY:16|ZERO_PRICE_CHECK:15,https://www.5cookie.cc/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,724codes.com,724codes,ONLINE,PARSE_FAILED,0,0,,https://724codes.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,9527code.com,9527code,ONLINE,PUBLIC_JSON,120,120,GENERIC_PRICE_ONLY:120|ZERO_PRICE_CHECK:117,https://9527code.com/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,aaatoken.cn,3AToken,ONLINE,PUBLIC_JSON,13,13,GENERIC_PRICE_ONLY:13|ZERO_PRICE_CHECK:12,https://aaatoken.cn/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai-szzx.online,数智AI,ONLINE,PARSE_FAILED,0,0,,https://ai-szzx.online/,200,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.17nas.com,镜核 AI,CLOUDFLARE_OR_BLOCKED,CLOUDFLARE_OR_BLOCKED,0,0,,https://ai.17nas.com/,,监测已显示 Cloudflare/被拦截，跳过价格抓取
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.anxidc.com,安讯AI,DNS_FAIL,SITE_NOT_REACHABLE,0,0,,,,最新监测状态为 DNS_FAIL，跳过价格抓取
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.cdn.ad,Lightning AI,ONLINE,PARSE_FAILED,0,0,,https://ai.cdn.ad/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.centos.hk,星辰,ONLINE,PUBLIC_JSON,80,80,GENERIC_PRICE_ONLY:80|ZERO_PRICE_CHECK:75,https://ai.centos.hk/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.chaozhi.chat,云枢,ONLINE,PARSE_FAILED,0,0,,https://ai.chaozhi.chat/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.flashapi.top,闪电API,ONLINE,PUBLIC_JSON,33,33,GENERIC_PRICE_ONLY:33|ZERO_PRICE_CHECK:31,https://ai.flashapi.top/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.kividas.com,KyberRouter,ONLINE,PARSE_FAILED,0,0,,https://ai.kividas.com/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.luminai.cc,Lumin AI,ONLINE,PUBLIC_JSON,15,15,GENERIC_PRICE_ONLY:15|ZERO_PRICE_CHECK:14,https://ai.luminai.cc/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.ssgoo.net,TokenGo,ONLINE,PARSE_FAILED,0,0,,https://ai.ssgoo.net/,404,页面似乎包含模型/价格文本，但自动解析失败
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.xem8k5.top,xem中转站,ONLINE,PUBLIC_JSON,29,29,GENERIC_PRICE_ONLY:29|ZERO_PRICE_CHECK:28,https://ai.xem8k5.top/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,ai.xlyun.pro,小流云,ONLINE,PUBLIC_JSON,50,50,GENERIC_PRICE_ONLY:50|MODEL_TAGS_NORMALIZED:21|ZERO_PRICE_CHECK:24,https://ai.xlyun.pro/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,aiapi.world,AiApi.World,ONLINE,PUBLIC_JSON,116,116,GENERIC_PRICE_ONLY:116|ZERO_PRICE_CHECK:112,https://aiapi.world/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,aiapify.com,AIApify,ONLINE,PUBLIC_JSON,12,12,GENERIC_PRICE_ONLY:12|ZERO_PRICE_CHECK:12,https://aiapify.com/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,aiapis.io,AI APIS,ONLINE,NO_MODEL_PAGE_FOUND,0,0,,https://aiapis.io/,404,没有找到公开模型价格页
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,aiberm.com,Aiberm,ONLINE,PUBLIC_JSON,118,118,GENERIC_PRICE_ONLY:118|ZERO_PRICE_CHECK:113,https://aiberm.com/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,airouter.mxyhi.com,deepproxy,ONLINE,PUBLIC_JSON,150,150,GENERIC_PRICE_ONLY:150|ZERO_PRICE_CHECK:112,https://airouter.mxyhi.com/api/pricing,200,
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,allinai7.cloud,Allin-AI,DNS_FAIL,SITE_NOT_REACHABLE,0,0,,,,最新监测状态为 DNS_FAIL，跳过价格抓取
2026-07-01T09:03:06Z,2026-07-01T02:53:07Z,anpin.ai,AnPin AI,ONLINE,PARSE_FAILED,0,0,,https://anpin.ai/,404,页面似乎包含模型/价格文本，但自动解析失败
