checked_at,domain,platform_name,monitor_status,source_url,matched_url,access_status,http_status,raw_model_name,model_name,model_tags,provider,model_type,billing_type,input_price,output_price,model_price,price_unit,currency,raw_price_text,confidence,quality_flag,note
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-fable-5,claude-fable-5,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-haiku-4-5,claude-haiku-4-5,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-5,claude-opus-4-5,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-5-20251101,claude-opus-4-5-20251101,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-5-20251101-thinking,claude-opus-4-5-20251101-thinking,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6,claude-opus-4-6,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6-high,claude-opus-4-6-high,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6-low,claude-opus-4-6-low,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6-max,claude-opus-4-6-max,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6-medium,claude-opus-4-6-medium,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-6-thinking,claude-opus-4-6-thinking,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-7,claude-opus-4-7,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-opus-4-8,claude-opus-4-8,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-sonnet-4-5,claude-sonnet-4-5,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
2026-07-08T07:45:31Z,1xm.ai,1XM,ONLINE,https://1xm.ai/,https://1xm.ai/api/pricing,PUBLIC_JSON,200,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,,,,按量 (quota_type=0),,,0,,,quota_type=0; model_price=0,0.75,GENERIC_PRICE_ONLY|ZERO_PRICE_CHECK,从 JSON 字段自动抽取；通用价格不能视为输入价；价格为 0，可能是倍率/计费模式字段，需核对
