captured_date,payload_updated_at,siteDomain,site,relaySiteId,model_tab_count,model_tabs,model_keys,channel_count,price_min_cny,price_max_cny,avg_online_rate,avg_pass_rate,avg_latency_s,last_results,site_urls
2026-06-23,2026-06-23T07:20:07.500Z,5cookie.cc,5Cookie Code,40241,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,2.5,6.0,99.65,99.63,5.83,pass,https://www.5cookie.cc/
2026-06-23,2026-06-23T07:20:07.500Z,724codes.com,724codes,40209,4,opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6,1,4.5,7.5,97.9,100.0,4.15,pass,https://724codes.com/register
2026-06-23,2026-06-23T07:20:07.500Z,9527code.com,9527code,39937,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,3,0.95,9.0,99.65,98.55,5.75,pass,https://9527code.com/register
2026-06-23,2026-06-23T07:20:07.500Z,a6api.com,A6api,40329,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.117069,0.243893,100.0,96.75,5.6,pass,https://a6api.com/
2026-06-23,2026-06-23T07:20:07.500Z,ai.luminai.cc,Lumin AI,39827,5,gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.5,3,2.0,7.5,95.3,97.24,6.02,pass,https://ai.luminai.cc/register
2026-06-23,2026-06-23T07:20:07.500Z,anpin.ai,AnPin AI,39783,5,gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.5,2,0.75,8.5,90.64,96.14,7.54,error|fail,https://anpin.ai/register
2026-06-23,2026-06-23T07:20:07.500Z,aokapi.com,AOK,40009,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.875,1.75,100.0,100.0,8.2,pass,https://aokapi.com/register
2026-06-23,2026-06-23T07:20:07.500Z,api.aijws.com,我的贾维斯,40324,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.25,5.0,98.23,97.87,5.58,pass,https://api.aijws.com/register
2026-06-23,2026-06-23T07:20:07.500Z,api.api2cn.com,智惠API,40026,6,gpt54|gpt55|opus46|opus47|opus48|sonnet46,claude-opus-4-6|claude-opus-4-7|claude-opus-4-8|claude-sonnet-4-6|gpt-5.4|gpt-5.5,2,0.7,8.125,99.3,97.1,5.58,error|pass,https://api.api2cn.com/register
2026-06-23,2026-06-23T07:20:07.500Z,api.frontier-intelligence.tech,Frontier Intelligence,39961,2,gpt54|gpt55,gpt-5.4|gpt-5.5,1,0.357143,0.714286,96.8,97.8,11.7,pass,https://api.frontier-intelligence.tech/sign-up
