cleaned_at,domain,file,reason
2026-06-17T04:34:31Z,ai.17nas.com,ai_17nas_com_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,ai.17nas.com,ai_17nas_com_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.tryallai.com,api_tryallai_com_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.tryallai.com,api_tryallai_com_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.uglycat.cc,api_uglycat_cc_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.uglycat.cc,api_uglycat_cc_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.xpluse.plus,api_xpluse_plus_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,api.xpluse.plus,api_xpluse_plus_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,code.newcli.com,code_newcli_com_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,code.newcli.com,code_newcli_com_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,duckcode.cn,duckcode_cn_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,duckcode.cn,duckcode_cn_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,mnapi.com,mnapi_com_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,mnapi.com,mnapi_com_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,zhangyuapi.com,zhangyuapi_com_2026-06-16.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
2026-06-17T04:34:31Z,zhangyuapi.com,zhangyuapi_com_2026-06-16_2.png,自动清理：该站点最新状态为 CLOUDFLARE_OR_BLOCKED，旧截图很可能只是拦截/人机验证页面。
