checked_at,domain,platform_name,final_url,online_status,page_title,note
2026-09-06T10:43:29Z,alltkn.com,ALLTKN,https://alltkn.com/,CLOUDFLARE_OR_BLOCKED,alltkn.com | 521: Web server is down,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,hajisong.top,,https://hajisong.top/,CLOUDFLARE_OR_BLOCKED,hajisong.top | 521: Web server is down,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,hk.vbcode.io,VBCode.io,https://hk.vbcode.io/,CLOUDFLARE_OR_BLOCKED,New API,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,holdzywoo.top,,https://holdzywoo.top/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,kie.ai,,https://kie.ai/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,llmroute.club,"Silk Road AI · 一个 Key,接入 200+ AI 模型 | ChatGPT、Claude、Gemini 国内中转",https://llmroute.club/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,lqapi.cc,速极 API,https://lqapi.cc/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,lxtech.icu,LXAPI,https://lxtech.icu/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,maoyulin.xyz,猫羽雫API,https://maoyulin.xyz/,CLOUDFLARE_OR_BLOCKED,maoyulin.xyz | 521: Web server is down,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,maryandthedot.com,New API,https://maryandthedot.com/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,maxai.asia,MaxAI API,https://maxai.asia/,CLOUDFLARE_OR_BLOCKED,maxai.asia | 521: Web server is down,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,minicod.com,,https://www.minicod.com/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,new.123nhh.xyz,New API,https://new.123nhh.xyz/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,newapi.neokoaigc.com,New API,https://newapi.neokoaigc.com/,CLOUDFLARE_OR_BLOCKED,neokoaigc.com | 521: Web server is down,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,onetoken.one,OneToken,https://onetoken.one/,CLOUDFLARE_OR_BLOCKED,New API,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,unorouter.ai,,https://unorouter.com/en,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,vbcode.io,VBCode.io,https://vbcode.io/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,www.kuaiaiapi.com,kuaiai,https://www.kuaiaiapi.com/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,www.mnapi.com,MN API,https://www.mnapi.com/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,www.vbcode.io,VBCode.io,https://www.vbcode.io/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
2026-09-06T10:43:29Z,xezn.org,,https://xezn.org/,CLOUDFLARE_OR_BLOCKED,Just a moment...,GitHub Actions 可能只能看到 Cloudflare/人机验证页；请本地手动打开并按需保存截图。
